번호,수어 표제어 번호,수형설명,한국어 대응표현,결합정보,대/중 분류
56,23940,"손끝을 맞대고 끝이 위로, 등이 밖으로 향하게 세운 왼손의 손끝 위에서 4지부터 1지까지 오른손의 1·5지 끝을 맞댔다 뗐다 한다.",만두,,일상생활 수어 > 식생활 > 음식
57,23939,오른 주먹의 1·2·4지를 펴서 1·2지를 구부려 머리 오른쪽에 댔다가 ‘S’자를 그리며 내린다.,"마리아,성모마리아",,일상생활 수어 > 기타
58,23938,오른 주먹의 1지를 펴서 세워 이마 오른쪽에 댔다가 뒤로 반원을 그리며 돌린다.,러시아,,일상생활 수어 > 나라명 및 지명 > 나라명
59,23937,"오른 주먹의 1지를 펴서 오른쪽 관자놀이에 댄 다음, 손바닥이 위로 향하게 약간 오므린 오른손을 좌우로 흔든다.",두통,머리+아프다,일상생활 수어 > 삶 > 병과 증상
60,23934,손등이 밖으로 손끝이 위로 향하게 하여 약간 구부려 벌린 왼 손등에 같은 모양의 오른 손바닥을 댔다가 밖으로 내민다.,"대회,회",,일상생활 수어 > 기타
61,23933,오므려 세운 오른손을 입 앞에서 밖으로 향하게 하여 약간 내밀며 손을 벌려 편다.(상대방에게 답을 하는 경우),"답,대답",,일상생활 수어 > 사회생활 > 언어
62,23932,오른손 1·2·3·4·5지 끝을 모아 입으로 향하게 한 후에 'ㄷ'자 모양을 만든 왼손 1·5지 옆면 사이로 오른손의 손끝을 모아 안쪽에서 밖으로 밀어 넣는다.,"뇌물을 주다,매수",,일상생활 수어 > 기타
63,23931,두 주먹의 3·5지만 접어 손바닥이 밖으로 향하게 하여 오른손은 안쪽에서 왼손은 바깥쪽에서 엇갈리게 두 번 돌린다.,네덜란드,,일상생활 수어 > 나라명 및 지명 > 나라명
64,23928,"왼 주먹의 1·5지를 펴서 1지 끝이 오른쪽으로 등이 밖으로 향하게 하고, 오른주먹의 1지를 펴서 끝을 왼손의 1지 끝에 댔다가 두 번 굽혔다 펴면서 오른쪽으로 비스듬히 내린다.",남대문,,일상생활 수어 > 개념 > 지역
65,23924,"오른 주먹의 5지를 펴서 세워 가슴에 대고 천천히 아래로 내린 다음, 5지를 펴서 세운 왼 주먹의 5지 등을, 5지를 펴서 세운 오른 주먹의 4지 밑면으로 스쳐 낸다.",극복,참다+이기다,일상생활 수어 > 기타
66,23922,가볍게 쥔 오른 주먹을 코앞에서 펼치며 왼쪽으로 내린다.,"그냥,그저",,일상생활 수어 > 기타
67,23921,모로 쥔 왼 주먹에 1지를 펴서 반쯤 구부린 오른 주먹을 등이 닿게 올려 놓는다.,고무신,,"일상생활 수어 > 의생활 > 모자, 신발, 장신구"
68,23920,"왼 주먹의 1·5지를 펴서 1지 끝이 오른쪽으로 등이 밖으로 향하게 하고, 오른주먹의 1·5지를 펴서 1지를 왼 주먹의 5지에 5지를 왼 주먹의 1지에 댄다.","경상남도,경남",지문자 ‘경’의 ㄱ/지문자 ‘남’의 ㄴ,일상생활 수어 > 나라명 및 지명 > 지명
69,23916,두 손의 1지를 펴서 구부려 끝이 밖으로 향하게 머리 양옆에 대고 원을 그리며 밖으로 내민다.,"호주,오스트레일리아",,일상생활 수어 > 나라명 및 지명 > 나라명
70,23915,"오른 손을 펴서 손끝이 위로 손바닥이 입으로 향하게 하여, 내민 혀 앞에서 왼쪽으로 두 번 돌린다.",필리핀,,일상생활 수어 > 나라명 및 지명 > 나라명
71,23914,1·5지를 편 양손의 1지 끝을 양쪽 입술 아래에 대었다가 양옆으로 약간 벌려 가슴 앞으로 약간 좁히며 내린다.,프랑스,,일상생활 수어 > 나라명 및 지명 > 나라명
