번호,수어 표제어 번호,수형설명,한국어 대응표현,결합정보,대/중 분류
6975,22991,"손끝이 오른쪽으로 향하게 모로 세운 왼손의 1·5지 사이로 손가락이 아래로 손등이 밖으로 향한 오른손을 두 번 내리 넣고, 비스듬히 세운 왼손 밑에 오른손으로 ‘ム’ 모양을 그린 다음, 손등이 밖으로 향하게 세운 왼 손바닥에 오른 주먹의 1지를 펴서 끝을 대고 왼 손목을 돌려 손바닥이 밖으로 향하게 한다.",선거 공보,,전문용어 수어 > 정치
6976,22995,"손끝이 오른쪽으로 향하게 모로 세운 왼손의 1·5지 사이로 손가락이 아래로 손등이 밖으로 향한 오른손을 두 번 내리 넣고, 손끝이 밖으로 향하게 모로 세운 왼 손바닥에 오른 주먹의 1·5지를 벌려 펴서 5지 끝을 대고 1지를 밖으로 돌린 다음, 두 손을 펴서 손끝이 밖으로 향하게 모로 세워 어깨 높이에서 가슴 높이로 내린다.",선거 기간,,전문용어 수어 > 정치
6977,22999,"손끝이 오른쪽으로 향하게 모로 세운 왼손의 1·5지 사이로 손가락이 아래로 손등이 밖으로 향한 오른손을 두 번 내리 넣은 다음, 두 주먹의 5지를 펴서 전후로 세워 서로 엇갈리게 상하로 움직인다.",선거전,,전문용어 수어 > 정치
6978,23002,"왼 주먹의 5지를 펴서 바닥이 밖으로 향하게 세우고, 그 등에 오른 주먹의 1지를 펴서 끝을 두번 댔다 뗀 다음, 왼 주먹의 5지 등에서 손바닥이 왼쪽으로 손끝이 밖으로 향하게 편 오른손을 좌우로 흔들고, 약간 구부린 두 손을 양 어깨에 올려놓은 다음, 두 주먹의 1지를 펴서 끝이 약간 아래로 향하게 하여 좌우로 엇갈리게 움직인 다음, 두 주먹의 4·5지를 펴서 끝이 위로 향하게 맞대고 세워 양옆으로 두 번 약간 돌리며 벌린다.",선동 정치가,,전문용어 수어 > 정치
6979,21429,"두 손의 1·5지 끝을 맞대어 동그라미를 만들어 전후로 엇갈리게 움직인 다음, 손바닥이 위로 향하게 편 두 손을 양옆으로 맞댔다가 벌리는 동작을 두 번 반복하고, 주먹을 쥐고 세운 왼팔의 팔꿈치 밑에 오른 손등을 대고 손가락을 활짝 편 다음, 오른손의 1·5지 끝을 맞대어 동그라미를 만들어 왼 손바닥으로 내린다.",상업 자본,,전문용어 수어 > 경제
6980,21433,"손바닥이 위로 손끝이 옆으로 향하게 편 두 손을 전후로 두 번 엇갈리게 움직인 다음, 손바닥이 아래로 향하게 반쯤 구부린 오른손을 가슴 앞에서 약간 내리다가 멈추고, 위로 향하게 편 왼 손바닥에 오른 손가락을 약간 구부려 끝을 대고 동시에 밖으로 내밀고, 두 주먹을 맞대고 전후로 엇갈리게 두 번 돌린다.",상장주,,전문용어 수어 > 경제
6981,21436,"손등이 위로 손끝이 오른쪽으로 향하게 편 왼 손바닥에, 그 오른쪽 아래에서 오른손의 손끝을, 손바닥이 안으로 향하게 하여 반원을 그리며 올려댄 다음, 두 손의 손가락을 반쯤 구부려 오른손이 위에 왼손이 아래에 놓이게 하여 끼우고, 오른손의 1·5지 끝을 맞대어 동그라미를 만들어 상하로 가볍게 두 번 흔든다.",상종가,,전문용어 수어 > 경제
6982,21440,"두 손 각각 1·5지 끝을 맞대어 동그라미를 만들어 전후로 엇갈리게 움직인 다음, 손끝이 밖으로 향하게 펴서 모로 세운 왼 손바닥을 오른손의 5지 바닥으로 두 번 스쳐 내고, 모로 세운 오른 주먹의 밑면으로 모로 세운 왼 주먹의 윗면을 두 번 두드린 다음, 왼손을 손끝이 오른쪽으로 향하게 모로 세워 ‘ㄷ’자 모양이 되게 하고, 그 사이로 손끝이 위로 손바닥이 안으로 향한 오른손을 올린다.",상품 생산,,전문용어 수어 > 경제
6983,23006,"손가락을 벌려 반쯤 구부리고 손등이 위로 향하게 편 두 손의 손가락 등을 두 번 부딪친 다음, 손끝이 밖으로, 손등이 옆으로 향하게 편 두 손의 손바닥을 맞댔다가 양옆으로 벌리고, 두 주먹의 1·5지를 펴서 약간 구부려 옆면을 입 양옆에 댔다가 동시에 밖으로 내밀며 좌우로 약간 벌린다.",선전,,전문용어 수어 > 정치
6984,23010,오른손을 약간 구부려 오른쪽 어깨에 올려놓는다.,성,책임,전문용어 수어 > 정치
6985,23014,"손가락을 약간 구부린 두 손을 마주 보게 하여 동시에 밖으로 크게 돌리고, 두 주먹의 1지를 펴서 구부려 연결하여 오른쪽으로 돌린 다음, 두 손의 손가락을 약간 구부려 마주 보게 세워 전후로 약간 흔들고, 두 주먹을 어깨 위로 동시에 두 번 올렸다 내린다.",세계 연방 운동,,전문용어 수어 > 정치
6986,23018,"손가락을 약간 구부린 두 손을 마주 보게 하여 동시에 밖으로 크게 돌리고, 두 주먹의 1지를 펴서 끝이 약간 아래로 향하게 하여 좌우로 엇갈리게 움직인 다음, 오른 주먹의 1지를 펴서 끝 바닥을 오른쪽 관자놀이에 대고, 손끝이 아래로 향하게 편 오른손의 손가락 바닥으로, 수평으로 올린 왼손의 4지 옆면을 왼쪽에서 오른쪽으로 두 번 스쳐 낸다.",세계 정책,세계+ 정책,전문용어 수어 > 정치
6987,23024,"두 주먹의 5지를 펴서 끝으로 배를 번갈아 스쳐 내린 다음, 왼 주먹의 5지를 펴서 바닥이 밖으로 향하게 세우고, 그 등에 손바닥이 위로 향하게 편 오른 손끝을 두 번 대고, 5지를 펴서 세운 두 주먹을 마주 보게 하여 두 번 약간 누이다가 세운 다음, 두 주먹의 4·5지를 펴서 끝이 위로 향하게 맞대고 세워 양옆으로 두 번 약간 돌리며 벌린다.",세습 의원,,전문용어 수어 > 정치
6988,23028,"오른손의 1·5지 끝을 맞대어 동그라미를 만들어 끝으로 왼 손바닥을 손목에서 손끝으로 스쳐내는 동작을 두 번 반복한 다음, 두 주먹의 4·5지를 펴서 끝이 위로 향하게 맞대고 세워 양옆으로 두 번 약간 돌리며 벌리고, 주먹을 쥔 왼 팔등에 1·5지 끝을 맞댄 오른 주먹을 올려놓고 전후로 움직인 다음, 두 주먹의 1지를 펴서 끝이 약간 아래로 향하게 하여 좌우로 엇갈리게 움직인다.",소비자 행정,,전문용어 수어 > 정치
6989,23032,"위로 향하게 편 왼 손바닥에 오른 손끝을 대고 좌우로 스쳐 낸 다음, 오른 주먹의 1지 끝에 5지 끝을 댔다가 튕겨 벌리고, 손끝이 약간 밖으로 향하게 모로 세운 왼손의 1지 윗면에 오른손을 손끝이 약간 밖으로 향하게 모로 세운 다음, 두 손의 손끝을 마주 댔다가 안으로 원을 그리며 돌려 두 손목을 맞댄다.",소수당,,전문용어 수어 > 정치
6990,23036,"오른 주먹의 1지를 펴서 세워 이마 오른쪽에 댔다가 뒤로 반원을 그리며 돌리고, 두 주먹의 1지를 펴서 구부려 연결하여 오른쪽으로 돌린 다음, 두 손의 손가락을 약간 구부려 마주 보게 세워 전후로 약간 흔들고, 두 손의 손가락을 약간 구부려 마주 보게 세워 전후로 약간 흔든 다음, 5지를 펴서 세운 왼 주먹 약간 밑에서 5지를 펴서 세운 오른 주먹을 좌우로 두 번 움직이고, 5지를 펴서 세운 두 주먹을 마주 보게 하여 두 번 약간 누이다가 세운다.",소연방 각료 회의,소연방(소련+ 연방)+ 각료+ 회의,전문용어 수어 > 정치
6991,23044,"두 손의 손가락을 약간 구부려 마주 보게 세워 전후로 약간 흔들고, 5지를 접고 손바닥이 밖으로 손끝이 위로 향하게 편 두 손을 맞댄 다음, 왼 주먹의 5지를 펴서 세우고 그 위를 약간 오므린 오른손으로 덮으며 동시에 약간 내리고, 오른 주먹의 1지를 펴서 오른쪽 관자놀이에 대고 좌우로 약간 돌린 다음, 오른 손바닥으로 손등이 위로 향하게 쥔 왼 주먹을 밖으로 스쳐 내린다.",쇄국주의,,전문용어 수어 > 정치
6992,23048,"왼 주먹을 5지를 펴서 세우고 5지가 오른손의 1‧5지 사이로 나오게 오른손으로 왼손을 내리덮고, 손바닥이 위로 손끝이 밖으로 향하게 비스듬히 세운 두 손을 안으로 당긴 다음, 두 손의 손가락을 약간 구부려 마주 보게 세워 전후로 약간 흔든다.",수임국,,전문용어 수어 > 정치
6993,23051,"1지를 펴서 등이 옆으로 향하게 세운 두 주먹을 중앙으로 모아 두 팔이 교차하게 한 다음, 모로 세운 오른 주먹의 밑면으로 모로 세운 왼 주먹의 윗면을 두 번 두드리고, 오른 주먹의 1지를 펴서 오른쪽 관자놀이에 대고 좌우로 약간 돌린 다음, 오른 손바닥으로 손등이 위로 향하게 쥔 왼 주먹을 밖으로 스쳐 내린다.",수정주의,수정+ 주의,전문용어 수어 > 정치
6994,21464,"모로 세운 오른 주먹의 밑면으로 모로 세운 왼 주먹의 윗면을 두 번 두드린 다음, 왼손을 손끝이 오른쪽으로 향하게 모로 세워 ‘ㄷ’자 모양이 되게 하고, 그 사이로 손끝이 위로 손바닥이 안으로 향한 오른손을 올리고, 오른손의 1·5지 끝을 맞대어 동그라미를 만들어 좌우로 가볍게 두 번 흔든 다음, 손바닥이 위로 향하게 편 오른손의 손가락을 5지부터 차례로 접는다.",생산액,,전문용어 수어 > 경제
6995,21474,"왼손을 펴서 손등이 위로 손끝이 오른쪽으로 향하게 하고, 그 밑에서 손바닥이 위로 향하게 펴서 구부린 오른손을 안으로 당긴 다음, 손바닥이 위로 손끝이 밖으로 향하게 비스듬히 세운 두 손을 안으로 당기고, 오른손의 1·5지 끝을 맞대어 동그라미를 만들어 좌우로 가볍게 두 번 흔든다.",선수금,미리+ 받다+ 돈,전문용어 수어 > 경제
6996,21480,"두 손의 손가락을 구부려 양쪽 어깨 위에서 위로 조금씩 올린 다음, 두 주먹을 맞대고 전후로 엇갈리게 두 번 돌린다.",성장주,,전문용어 수어 > 경제
6997,21484,"손가락을 약간 구부린 두 손을 마주 보게 하여 동시에 밖으로 크게 돌리고, 1·5지 끝을 맞대어 동그라미를 만든 두 손을 상하로 놓이게 하여 수평으로 서로 엇갈리게 돌린 다음, 손바닥이 아래로 향하게 반쯤 구부린 오른손을 가슴 앞에서 약간 내리다가 멈춘다.",세계 시장,세계+ 시장,전문용어 수어 > 경제
6998,21489,"왼손을 손바닥이 위로 향하게 손가락을 벌려 약간 구부리고, 그 위에서 오른손을 손바닥이 아래로 향하게 손가락을 벌려 약간 구부려 동시에 손목을 안으로 구부리며 당긴다.",소득,거두어들임을 나타내는 동작,전문용어 수어 > 경제
6999,21496,"왼 주먹의 5지를 펴서 바닥이 밖으로 향하게 세우고, 오른 주먹의 1‧2지를 펴서 끝이 밖으로 향하게 벌려 왼 주먹의 5지가 1‧2지 사이에 놓이게 비스듬히 세운 다음, 오른 주먹의 1·2지를 펴서 바닥을 왼 손바닥에 대고 왼손으로 감싸 쥔 다음, 오른손의 1·2지를 밑으로 빼내고, 두 손의 1·5지 끝을 맞대어 동그라미를 만들어 가슴 앞에서 전후로 엇갈리게 두 번 움직인 다음, 손끝이 밖으로 향하게 펴서 모로 세운 왼 손바닥을 오른손의 5지 바닥으로 두 번 스쳐 내고, 오른손의 1·5지 끝을 맞대어 동그라미를 만들어 상하로 가볍게 두 번 흔든다.",소매 시세,,전문용어 수어 > 경제
7000,21500,"오른손의 1·5지 끝을 맞대어 동그라미를 만들어 끝으로 왼 손바닥을 손목에서 손끝으로 스쳐내는 동작을 두 번 반복한 다음, 1·5지를 펴서 바닥이 밖으로 향하게 쥔 두 주먹을 동시에 오른쪽으로 한 바퀴 돌린다.",소비 생활,,전문용어 수어 > 경제
7001,21503,"오른손의 1·5지 끝을 맞대어 동그라미를 만들어 끝으로 왼 손바닥을 손목에서 손끝으로 스쳐내는 동작을 두 번 반복한 다음, 두 주먹의 4·5지를 펴서 끝이 위로 향하게 맞대고 세워 양옆으로 두 번 약간 돌리며 벌리고, 오른손의 1·5지 끝을 맞대어 동그라미를 만들어 상하로 가볍게 두 번 흔든다.",소비자 가격,소비자+ 가격,전문용어 수어 > 경제
7002,21510,"오른손의 1·5지 끝을 맞대어 동그라미를 만들어 끝으로 왼 손바닥을 손목에서 손끝으로 스쳐내는 동작을 두 번 반복한 다음, 두 주먹의 4·5지를 펴서 끝이 위로 향하게 맞대고 세워 양옆으로 두 번 약간 돌리며 벌리고, 오른 주먹 1·2지를 펴서 약간 구부려 끝이 눈으로 향하게 하여 왼쪽으로 돌린 다음, 펴서 세운 오른손을, 5지를 펴서 세운 왼 주먹을 감싸듯이 오른쪽에서 왼쪽으로 돌리고, 손등이 위로 향하게 쥔 두 주먹을 전후로 엇갈리게 움직인다.",소비자 보호 운동,소비자+ 보호+ 활동,전문용어 수어 > 경제
7003,21518,"오른 주먹의 1지를 펴서 옆면으로 입술 밑을 오른쪽으로 스쳐내고, 왼 손바닥을, 오른 주먹의 1지를 펴서 끝으로 오른쪽으로 스쳐 낸 다음, 오른손의 1‧5지 끝을 맞대어 동그라미를 만들어 입에 댔다가 안으로 기울여 내리고, 손바닥이 위로 향하게 편 왼 손바닥을 오른손의 손끝으로 좌우로 스쳐 내고, 두 주먹의 1지를 펴서 네모를 그린다.",손익 계산서,,전문용어 수어 > 경제
7004,21523,두 손을 구부려 손가락 등이 아래로 향하게 하고 끝으로 배 양쪽을 두 번 두드린다.,수요,,전문용어 수어 > 경제
7005,21526,"왼손을 손바닥이 위로 향하게 손가락을 벌려 약간 구부리고, 그 위에서 오른손을 손바닥이 아래로 향하게 손가락을 벌려 약간 구부려 동시에 손목을 안으로 구부리며 당긴 다음, 오른손의 1·5지 끝을 맞대어 동그라미를 만들어 입에 댔다가 안으로 기울여 내린다.",수익,벌다+ 이익,전문용어 수어 > 경제
7006,21532,"오른손의 손등으로, 손등이 위로 향하게 쥔 왼 주먹 등을 밖에서 안으로 스쳐 들인 다음, 두 주먹의 1지를 펴서 손바닥을 ‘X’자로 맞대고 돌리고, 1·2·5를 편 두 주먹을 손바닥이 마주 보게 하여 전후로 엇갈리게 돌린 다음, 오른 주먹의 1·5지를 펴서 모로 세워 좌·우로 약간 흔들며 오른쪽으로 이동한다.",수입 대체 산업,,전문용어 수어 > 경제
7007,23065,"왼손의 1·5지 끝을 맞대어 동그라미를 만들어 등이 안으로 향하게 하고, 오른 주먹의 1·5지 끝을 맞대어 왼손 밑에 댔다가 내리면서 벌렸다가 좁히며 내려 다시 붙인 다음, 두 주먹을 가슴 앞에 세웠다가 왼쪽으로 이동하며 오른쪽으로 약간 기울이고, 두 손 각각 손끝을 모아 끝을 양쪽 눈 밑에 댔다가 떼며 활짝 편다.",시월 유신,10월+ 유신(쓸어버리다+ 새롭다),전문용어 수어 > 정치
7008,23072,"오른손을 가슴 앞에서 주먹을 쥐며 왼 손바닥에 내려놓은 다음, 손바닥이 위로 향한 왼손의 손바닥에, 오른손을 손바닥이 위로 향하게 약간 구부려 내밀며 올려놓고, 두 손의 손가락을 약간 구부려 마주 보게 세워 전후로 약간 흔든다.",식민국,,전문용어 수어 > 정치
7009,23083,"두 손 각각 손끝을 모아 끝을 양쪽 눈 밑에 댔다가 떼며 활짝 펴고, 두 주먹의 4·5지를 펴서 끝이 위로 향하게 맞대고 세워 양옆으로 두 번 약간 돌리며 벌린 다음, 오른 주먹의 5지를 펴서 세워 약간 위로 올리고, 오른 주먹의 1지를 펴서 오른쪽 관자놀이에 대고 좌우로 약간 돌린 다음, 오른 손바닥으로 손등이 위로 향하게 쥔 왼 주먹을 밖으로 스쳐 내린다.",신민주주의,,전문용어 수어 > 정치
7010,23087,"두 손 각각 손끝을 모아 끝을 양쪽 눈 밑에 댔다가 떼며 활짝 펴고, 오른 주먹의 1·2·3지를 펴서 바닥이 밖으로 향하게 세운 다음, 왼 손바닥에 오른손을 펴서 모로 세워 왼쪽에서 오른쪽으로 돌리며 짚어 나가고, 두 주먹의 4·5지를 펴서 끝이 위로 향하게 맞대고 세워 양옆으로 두 번 약간 돌리며 벌리고, 오른 주먹의 1지를 펴서 오른쪽 관자놀이에 대고 좌우로 약간 돌린 다음, 오른 손바닥으로 손등이 위로 향하게 쥔 왼 주먹을 밖으로 스쳐 내린다.",신삼민주의,,전문용어 수어 > 정치
7011,23090,"두 손 각각 손끝을 모아 끝을 양쪽 눈 밑에 댔다가 떼며 활짝 펴고, 오른손을 가슴 앞에서 주먹을 쥐며 왼 손바닥에 내려놓은 다음, 손바닥이 위로 향한 왼손의 손바닥에, 오른손을 손바닥이 위로 향하게 약간 구부려 내밀며 올려놓고, 두 손 각각 손가락 끝을 맞대고 비비고, 오른 주먹의 1지를 펴서 오른쪽 관자놀이에 대고 좌우로 약간 돌린 다음, 오른 손바닥으로 손등이 위로 향하게 쥔 왼 주먹을 밖으로 스쳐 내린다.",신식민지주의,,전문용어 수어 > 정치
7012,23098,"두 손 각각 손끝을 모아 끝을 양쪽 눈 밑에 댔다가 떼며 활짝 편 다음, 손바닥이 위로 향하게 편 왼 손바닥에 오른 주먹의 1·2지를 펴서 등을 대고 눕혔다가 일으켜 세우고, 두 손의 손가락을 약간 구부려 마주 보게 세워 전후로 약간 흔든다.",신흥 국가,,전문용어 수어 > 정치
7013,23102,"오른 주먹의 1지를 펴서 끝을 손등이 밖으로 손끝이 오른쪽으로 향하게 편 왼 손등에 댔다가 왼 손바닥에 대고, 손가락을 벌려 반쯤 구부리고 손등이 위로 향하게 편 두 손의 손가락 등을 두 번 맞부딪친 다음, 손끝이 아래로 향하게 편 오른손의 손가락 바닥으로 수평으로 올린 왼손의 4지 옆면을 왼쪽에서 오른쪽으로 두 번 스쳐낸다.",심리 작전,,전문용어 수어 > 정치
7014,23106,"손바닥이 밖으로 향하게 펴서 세운 오른손의 1·5지 끝을 맞대어 동그라미를 만든 다음, 1지를 펴서 바닥이 밖으로 향하게 세우고, 오른 주먹의 1·2지를 펴서 벌려 끝이 왼쪽으로 손등이 밖으로 향하게 한 다음, 1·4지를 펴서 바닥이 왼쪽으로 끝이 밖으로 향하게 하고, 오른 주먹의 1·5지를 펴서 1지 끝이 왼쪽으로 등이 밖으로 향하게 한 다음, 1지를 펴서 바닥이 밖으로 향하게 세우고, 손바닥이 밖으로 향하게 펴서 세운 오른손의 1·5지 끝을 맞대어 동그라미를 만든 다음, 1지를 펴서 끝이 아래로 등이 밖으로 향하게 세우고, 1지를 바닥이 왼쪽으로 끝이 밖으로 향하게 하고, 1·2지를 펴서 구부려 세운 두 주먹의 4지 옆면을 두 번 맞부딪친 다음, 오른 손바닥으로 손등이 위로 향하게 쥔 왼 주먹을 밖으로 스쳐 내린다.",아데나워 방식,,전문용어 수어 > 정치
7015,23117,"오른 주먹의 5지를 펴서 끝이 왼쪽으로 향하게 눕혀 오른쪽으로 한 바퀴 돌린 다음, 왼 주먹의 1지를 펴서 바닥이 위로 향하게 하고, 그 바닥에 오른 주먹의 1지를 펴서 바닥을 대고, 오른손으로 왼팔을 잡아 왼쪽으로 돌린 다음, 두 주먹의 1·2지를 펴서 모로 세워 왼손의 1지 위에 오른손의 2지가 닿게 하여 동시에 내민다.",아시아적 전제,,전문용어 수어 > 정치
7016,23121,"오른 주먹의 4지를 펴서 끝이 위로 바닥이 밖으로 향하게 세운 다음, 오른 주먹의 1․2․5지를 펴서 5지 바닥을 2지 옆면에 대고 2지 끝이 아래로 향하게 하고, 오른 주먹의 1·2지를 펴서 끝이 위로 바닥이 밖으로 향하게 세운다.",아이피유,,전문용어 수어 > 정치
7017,23125,"오른 손끝을 맞댔다가 바닥이 밖으로 향하게 펴면서 아프리카의 지형을 그리듯이 오른쪽으로 돌려내려 손끝을 맞댄 다음, 오른 주먹의 1지를 펴서 끝이 밖으로 향하게 모로 세워 위에서 아래로 길게 내려 긋고, 두 주먹의 1지를 펴서 끝이 약간 아래로 향하게 하여 좌우로 엇갈리게 움직인 다음, 오른 주먹의 1지를 펴서 끝 바닥을 오른쪽 관자놀이에 대고, 손끝이 아래로 향하게 편 오른손의 손가락 바닥으로, 수평으로 올린 왼손의 4지 옆면을 왼쪽에서 오른쪽으로 두 번 스쳐 낸다.",아프리카 종단 정책,아프리카+ 종단+ 정책,전문용어 수어 > 정치
7018,17688,오른손을 펴서 약간 구부려 오른쪽 관자놀이에서 두 바퀴 돌리며 위로 올린다.,영,혼이 떠올라가는 동작,전문용어 수어 > 천주교
7019,21546,"손등이 위로 향하게 쥔 왼 주먹의 등에 가볍게 쥔 오른 주먹의 등을 댔다가 밖으로 내밀며 활짝 편 다음, 오른손의 손등으로, 손등이 위로 향하게 쥔 왼 주먹 등을 밖에서 안으로 스쳐 들이고, 두 손의 1·5지 끝을 맞대어 마주 보게 하여 동시에 상하로 움직인다.",수출입 은행,,전문용어 수어 > 경제
7020,21550,"손등이 위로 향하게 쥔 왼 주먹의 등에 가볍게 쥔 오른 주먹의 등을 댔다가 밖으로 내밀며 활짝 편 다음, 왼 주먹의 5지를 펴서 바닥이 밖으로 향하게 세우고, 그 등에 오른 손바닥을 세워 두 번 대고, 오른손의 1·5지 끝을 맞대어 동그라미를 만들어 왼손의 손바닥 위쪽에 놓고 두 손을 동시에 약간 내린다.",수출 지원 자금,수출+ 지원+ 자금,전문용어 수어 > 경제
7021,21562,"손끝이 밖으로 향하게 모로 세운 왼 손바닥에 오른 주먹의 1‧5지를 벌려 펴서 5지 끝을 대고 1지를 밖으로 돌린 다음, 오른손의 1·5지 끝을 맞대어 동그라미를 만들어 왼 손바닥에 올려놓고 두 손을 동시에 밖으로 내밀고, 1·2지를 펴서 구부려 모로 세운 오른 주먹으로 손바닥이 위로 향하게 편 왼 손바닥을 두 번 두드린 다음, 오른 손바닥으로 손등이 위로 향하게 쥔 왼 주먹을 밖으로 스쳐 내린다.",시간급제,,전문용어 수어 > 경제
7022,21565,"손끝이 밖으로 향하게 모로 세운 왼 손바닥에 오른 주먹의 1‧5지를 벌려 펴서 5지 끝을 대고 1지를 밖으로 돌린 다음, 오른손의 1·5지 끝을 맞대어 동그라미를 만들어 왼 손바닥에 올려놓고 두 손을 동시에 밖으로 내민다.",시급,,전문용어 수어 > 경제
7023,21569,오른손을 손끝이 마주 보게 둥글게 구부려 손등이 오른쪽으로 향하게 세우고 손가락을 붙여 구부려 손바닥이 밖으로 향하게 세웠다가 손끝이 모아 붙여 세운다.,시이오,,전문용어 수어 > 경제
7024,21573,"두 손의 1·5지 끝을 맞대어 동그라미를 만들어 전후로 엇갈리게 움직인 다음, 손바닥이 아래로 향하게 반쯤 구부린 오른손을 가슴 앞에서 약간 내리다가 멈추고, 1·5지 끝을 맞대어 동그라미를 만든 두 손을 상하로 놓이게 하여 수평으로 서로 엇갈리게 돌린다.",시장 경제,,전문용어 수어 > 경제
7025,21576,"오른 주먹의 1·2지를 펴서 바닥을 왼 손바닥에 대고 왼손으로 감싸 쥔 다음, 오른손의 1·2지를 밑으로 빼낸 다음, 손끝이 위로 향하게 펴서 세운 오른 손바닥을 입 앞에 댔다가 내밀며 입으로 ‘파’하고, 왼 주먹 등에 오른 주먹의 바닥을 대며 1지를 끝이 밖으로 향하게 편다.",시장성,,전문용어 수어 > 경제
7026,21580,"두 손의 1·5지 끝을 맞대어 동그라미를 만들어 전후로 엇갈리게 움직인 다음, 손바닥이 아래로 향하게 반쯤 구부린 오른손을 가슴 앞에서 약간 내리다가 멈추고, 오른손의 1·5지 끝을 맞대어 동그라미를 만들어 오른쪽으로 반원을 그리며 위로 올린 다음, 왼 주먹의 1지를 펴서 끝이 오른쪽으로 향하게 비스듬히 세우고, 오른손의 1·5지 끝을 맞대어 동그라미를 만들어 왼 주먹의 1지 위쪽에 놓았다가 아래쪽에 놓는다.",시장 이자율,시장+ 이자+ 비율,전문용어 수어 > 경제
7027,21586,"두 손의 1·5지 끝을 맞대어 동그라미를 만들어 전후로 엇갈리게 움직인 다음, 손바닥이 아래로 향하게 반쯤 구부린 오른손을 가슴 앞에서 약간 내리다가 멈추고, 오른 주먹의 1·2지를 펴서 바닥을 왼 손바닥에 대고 왼손으로 감싸 쥔 다음, 오른손의 1·2지를 밑으로 빼낸다.",시판,,전문용어 수어 > 경제
7028,21591,"손끝이 밖으로 향하게 모로 세운 왼 손바닥에 오른 주먹의 1지를 펴서 옆면을 댄 다음, 손등이 아래로 손끝이 왼쪽으로 향하게 편 오른손을 밖으로 내밀면서 손가락을 모아 붙인다.",신용 대출,,전문용어 수어 > 경제
7029,21596,"손끝이 밖으로 향하게 모로 세운 왼 손바닥에 오른 주먹의 1지를 펴서 옆면을 댄 다음, 오른 주먹의 1·5지를 펴서 약간 구부려 끝이 밖으로 향하게 하여 아래로 내린다.",신용 카드,,전문용어 수어 > 경제
7030,21601,"5지를 접고 나머지 손가락을 펴서 바닥이 왼쪽으로 향하게 세운 오른손의 1지 옆면을 턱 중앙에 댄 다음, 손끝이 밖으로 향하게 펴서 모로 세운 왼 손바닥을 오른손의 5지 바닥으로 두 번 스쳐 내고, 손바닥이 위로 손끝이 옆으로 향하게 편 두 손을 전후로 두 번 엇갈리게 움직인다.",실물 거래,,전문용어 수어 > 경제
7031,21607,"5지를 접고 나머지 손가락을 펴서 손바닥이 왼쪽으로 향하게 세운 오른손의 1지 옆면을 턱 중앙에 댄 다음, 손바닥이 위로 손끝이 옆으로 향하게 편 두 손을 전후로 두 번 엇갈리게 움직인다.",실질 거래,,전문용어 수어 > 경제
7032,21610,"5지를 접고 나머지 손가락을 펴서 손바닥이 왼쪽으로 향하게 세운 오른손의 1지 옆면을 턱 중앙에 댄 다음, 오른손의 1·5지 끝을 맞대어 동그라미를 만들어 오른쪽으로 반원을 그리며 위로 올린다.",실질 금리,실질+ 금리,전문용어 수어 > 경제
7033,21620,"손바닥이 오른쪽으로 손끝이 밖으로 향하게 편 왼 손바닥을 오른 손끝으로 두 번 긁어 들이고, 두 손의 1·5지 끝을 맞대어 동그라미를 만들어 전후로 엇갈리게 움직인 다음, 손바닥이 아래로 향하게 반쯤 구부린 오른손을 가슴 앞에서 약간 내리다가 멈춘다.",암시장,,전문용어 수어 > 경제
7034,21624,"오른손의 1·5지 끝을 맞대어 동그라미를 만들어 좌우로 가볍게 두 번 흔든 다음, 손바닥이 밖으로 향하게 세운 왼 손바닥에 오른손의 손가락 끝 바닥을 두 번 대고, 오른손의 1·5지 끝을 맞대어 동그라미를 만들어 상하로 가볍게 두 번 흔든다.",액면 가격,,전문용어 수어 > 경제
7035,21629,"두 주먹의 4지를 펴서 구부려 서로 건 다음, 오른 주먹의 손가락 등으로 가슴으로 향하게 비스듬히 세운 왼 손바닥을 치고, 오른손의 1·5지 끝을 맞대어 동그라미를 만들어 상하로 가볍게 두 번 흔든다.",약정가,,전문용어 수어 > 경제
7036,21633,"주먹을 쥐고 반쯤 굽힌 왼팔의 위쪽에 오른손의 5지 옆면을 댔다가 반원을 그리며 내려 팔꿈치 위쪽에 4지 옆면이 닿게 한 다음, 두 손을 약간 구부려 손끝이 마주 보게하여 안에서 밖으로 반원을 그리며 내밀고, 손끝이 위로 향하게 펴서 세운 오른 손바닥을 입 앞에 댔다가 내밀며 입으로 ‘파’하고, 가슴 앞에서 모로 세운 왼손 위에 모로 세운 오른손을 올려놓고, 5·1·2·3·4지 순으로 손가락을 접은 다음, 두 손의 손가락을 반쯤 구부려 오른손이 위에, 왼손이 아래에 놓이게 하여 끼우고, 오른손의 1·5지 끝을 맞대어 동그라미를 만들어 좌우로 가볍게 두 번 흔든 다음, 왼 주먹의 1·2지를 펴서 등이 밖으로 향하게 모로 세우고, 그 밑에 오른 주먹의 1·2지를 펴서 등이 밖으로 향하게 세워 두 번 댔다 뗀다.",양도성 정기 예금,양도+ 가능+ 정기+ 예금,전문용어 수어 > 경제
